month_period,lat_bin_1deg,lon_bin_1deg,gap_count,total_gap_hours,unique_vessels
2017-01,25,-17,1,194.65,1
2017-01,26,-163,1,53.083333333333336,1
2017-01,26,-162,1,21.783333333333335,1
2017-01,26,-161,1,81.9,1
2017-01,26,-124,1,13.266666666666667,1
2017-01,27,-163,1,18.066666666666663,1
2017-01,27,-161,1,20.283333333333335,1
2017-01,27,-156,1,353.2,1
2017-01,27,176,1,13.15,1
2017-01,28,-164,1,18.0,1
2017-01,29,-172,1,16.95,1
2017-01,29,-170,1,12.066666666666666,1
2017-01,29,-169,1,12.05,1
2017-01,29,-165,1,12.05,1
2017-01,29,-164,1,19.633333333333333,1
2017-01,29,-162,1,16.35,1
2017-01,29,-159,1,14.45,1
2017-01,29,-29,1,79.65,1
2017-01,29,147,1,14.383333333333333,1
2017-01,29,176,1,20.9,1
2017-01,30,-172,1,12.183333333333334,1
2017-01,30,-170,1,22.85,1
2017-01,30,-61,1,531.5,1
2017-01,31,-159,1,204.26666666666668,1
2017-01,31,-158,1,2220.45,1
2017-01,31,-146,1,12.033333333333331,1
2017-01,31,-42,1,21.85,1
2017-01,31,-35,1,43.833333333333336,1
2017-01,31,166,1,15.283333333333331,1
2017-01,31,178,1,34.93333333333333,1
2017-01,32,-57,1,91.65,1
2017-01,33,-36,1,23.7,1
2017-01,34,-141,1,12.0,1
2017-01,35,-10,1,12.633333333333333,1
2017-01,36,-45,1,34.416666666666664,1
2017-01,36,-36,1,13.4,1
2017-01,36,-28,1,12.166666666666666,1
2017-01,36,-13,1,14.716666666666669,1
2017-01,37,-34,1,175.71666666666667,1
2017-01,40,-13,1,123.75,1
2017-01,41,-69,1,15.25,1
2017-01,41,-67,1,21.95,1
2017-01,41,-26,1,53.15,1
2017-01,41,-23,1,14.85,1
2017-01,41,-18,1,26.733333333333334,1
2017-01,42,-68,1,21.633333333333333,1
2017-01,42,-22,1,12.933333333333334,1
2017-01,42,-21,1,14.9,1
2017-01,42,-18,1,35.583333333333336,1
2017-01,42,-14,1,19.216666666666665,1
2017-01,43,-16,1,24.35,1
